Potential Misspelling,Original Text
dont,kind of reminds me of a scene in a movie or series where they rush through the plot with some music over it. It reminds me of the type of music but i dont imagine any particular movie or series
buble,i get mixed memories of michael buble performing on stage but also a hint of james bond theme music which brings back some memories around the movies but nothing in particular
manga,it reminds me of some sort of manga cartoon like pokemon or the clip which is about level 9000. nothing in particular just those kinds of programs
pokemon,it reminds me of some sort of manga cartoon like pokemon or the clip which is about level 9000. nothing in particular just those kinds of programs
9000,it reminds me of some sort of manga cartoon like pokemon or the clip which is about level 9000. nothing in particular just those kinds of programs
childrens,This reminds me of a childrens parade where cute furry animals would walk along a street with people watching on the sides. I recently watched squid game it reminded me of the part where the little girl is watching the bunny
1920s,1920s dancers/flappers in a jazz club. Glittery lights and a musician having fun on the double bass.
dancersflappers,1920s dancers/flappers in a jazz club. Glittery lights and a musician having fun on the double bass.
topfloor,"A sleek top-floor apartment in New York City, with its own piano. Maybe the owner is hosting a party."
hollywoodesque,"Sunrise over a Hollywood-esque town. Quiet streets, orange sky, a discarded newspaper sheet blowing around on the ground in an alley."
90s,A strange 90s music video where the artists are dressed in white fluffy jackets.
1970s,I thought it sounded like the end credits of a detective show from the 1970s or 1980s.
1980s,I thought it sounded like the end credits of a detective show from the 1970s or 1980s.
colour,"I imagined myself sitting in a brunch bar drinking a milkshake and waiting for a grilled sandwich. The bar was somewhat dark in colour, trendy."
ve,"I imagined an urgent chase. Overwhelming feeling of having listened to this before; the other clips are similar to what I've heard before, but I haven't actually heard them. This one felt different."
nt,"I imagined an urgent chase. Overwhelming feeling of having listened to this before; the other clips are similar to what I've heard before, but I haven't actually heard them. This one felt different."
hwks,I thought about tony hwks downhill game on wii. it had a soundtrack that was just like this
vania,easy this one was like castle vania. reminds me of retro gaming for sure. like a old side scroller
scroller,easy this one was like castle vania. reminds me of retro gaming for sure. like a old side scroller
luxery,I imagined a trip on a luxery style cruise ship. makes me feel regal and elegant
overworld,this is so similar to the sonic overworld areas in the 3d sonic games or really many games like that where it is like a peaceful city area. it is nice and soothing
3d,this is so similar to the sonic overworld areas in the 3d sonic games or really many games like that where it is like a peaceful city area. it is nice and soothing
tron,"yes if we are talking movies, it made me think of tron. has a very similar high tech vibe to it"
tech,"yes if we are talking movies, it made me think of tron. has a very similar high tech vibe to it"
minecraft,this was wildly similar to minecraft. I would think it was if heard in game. makes me feel relaxed and nice
immediatly,immediatly makes me think of hotel lobby music. it was like that upbeat peppy tone especially played in the morning to start your day in a good mood
80s,this strangely made me think of old 80s movie intro music to love comedies. it was just so joyous and cheesy it vits that vibe perfect
intro,this strangely made me think of old 80s movie intro music to love comedies. it was just so joyous and cheesy it vits that vibe perfect
vits,this strangely made me think of old 80s movie intro music to love comedies. it was just so joyous and cheesy it vits that vibe perfect
harmonising,Initially I thought of my dad as he is a lead guitarist and used to practice metal songs in our music room. But when the harmonising guitar part came in I thought of Black Veil Brides and the emo/metalcore scene in Belfast. There was a really cool alternative shop that was dark and sold band tshirts. 
emometalcore,Initially I thought of my dad as he is a lead guitarist and used to practice metal songs in our music room. But when the harmonising guitar part came in I thought of Black Veil Brides and the emo/metalcore scene in Belfast. There was a really cool alternative shop that was dark and sold band tshirts. 
tshirts,Initially I thought of my dad as he is a lead guitarist and used to practice metal songs in our music room. But when the harmonising guitar part came in I thought of Black Veil Brides and the emo/metalcore scene in Belfast. There was a really cool alternative shop that was dark and sold band tshirts. 
tv,"it reminded me of embarrassing TV Info-mertials from the 80's, and then it reminded me of a level from Sonic Adventures (but I think that was because you mentioned video game)"
infomertials,"it reminded me of embarrassing TV Info-mertials from the 80's, and then it reminded me of a level from Sonic Adventures (but I think that was because you mentioned video game)"
80,"it reminded me of embarrassing TV Info-mertials from the 80's, and then it reminded me of a level from Sonic Adventures (but I think that was because you mentioned video game)"
hendersons,"Immediately I imagined a scene from Jim Hendersons Labyrinth. I couldn't imagine this playing in a bar, it was a very romantic style song as if someone was falling in love with a beautiful girl."
nt,"Immediately I imagined a scene from Jim Hendersons Labyrinth. I couldn't imagine this playing in a bar, it was a very romantic style song as if someone was falling in love with a beautiful girl."
bowser,"the piano at the beginning really gave me a vivid image of bowser and mario, because the notes were similar to the music that plays on a bowser fight level. But when the saxophone kicked in I thought of someone dancing in las vegas in the 80s"
bowser,"the piano at the beginning really gave me a vivid image of bowser and mario, because the notes were similar to the music that plays on a bowser fight level. But when the saxophone kicked in I thought of someone dancing in las vegas in the 80s"
las,"the piano at the beginning really gave me a vivid image of bowser and mario, because the notes were similar to the music that plays on a bowser fight level. But when the saxophone kicked in I thought of someone dancing in las vegas in the 80s"
80s,"the piano at the beginning really gave me a vivid image of bowser and mario, because the notes were similar to the music that plays on a bowser fight level. But when the saxophone kicked in I thought of someone dancing in las vegas in the 80s"
nt,"With just the piano chords at the beginning I pictured someone sad looking out the window of a car crying, but when the beat kicked in I couldn't really picture anything "
tron,"It really reminded me of Tron. A dark arena, lit by neon blue lights, with players getting ready to battle. As the track builds I imagined the players running at each other to fight"
8bit,"It took a while but eventually I started imagining a retro 8-bit videogame battlescene where the enemy's face pops up and says some text like ""you'll never defeat me"" "
videogame,"It took a while but eventually I started imagining a retro 8-bit videogame battlescene where the enemy's face pops up and says some text like ""you'll never defeat me"" "
battlescene,"It took a while but eventually I started imagining a retro 8-bit videogame battlescene where the enemy's face pops up and says some text like ""you'll never defeat me"" "
ll,"It took a while but eventually I started imagining a retro 8-bit videogame battlescene where the enemy's face pops up and says some text like ""you'll never defeat me"" "
marylin,"I thought of marylin monroe, in black and white, leaning on a balcony under the moonlit sky gazing up and sighing"
8bit,I just thought about old school arcades and 8-bit game arcade machines. It really sounded like space invaders style game as you could hear things being fired and hitting objects breaking them
90,"really reminded me of 90's kids shows like hi5, and art attack. Brightly colour sets with a live audience, furniture that looks like giant versions of paint brushes, and overly smiley hosts."
hi5,"really reminded me of 90's kids shows like hi5, and art attack. Brightly colour sets with a live audience, furniture that looks like giant versions of paint brushes, and overly smiley hosts."
colour,"really reminded me of 90's kids shows like hi5, and art attack. Brightly colour sets with a live audience, furniture that looks like giant versions of paint brushes, and overly smiley hosts."
friendsalso,i imagined been at a house party having fun with my friends.Also i imagined making new friends at the party and playing variety of games such as truth or dare which would be very fun
villans,an action movie where there is a fight with the heros and villans 
birthay,The birthay celebrations when everyone shows their dancing skills
occassional,the music seems to be played in occassional events like wedding
80s,I imagined watching an 80s movie and people were running from the bad guy.
restarant,I first thought of a guy playing piano on stage and then a jazz band while people sat in a restarant eating and enjoying the music and atmosphere
nt,"The music sounded like celebration dance music, almost, something with a positive and energetic feeling that also demands attention and feels cool. Since it was stated to be from a video game, I am imagining a cool, competent, suave character coming into action and doing something noteworthy while this music follows them as they lead the scene, maybe causing mayhem but having a good time while doing so. They're winning and things aren't super tense."
noire,"At first, it sounded dramatic and maybe like something from a spy movie. Then more instruments picked up and it intensified the sort of undercover noire spy vibe it had going on. It seems a little odd to play at a bar, but it is very pleasant and feels fancy, like a high class late night dinner party or something, so it is a good vibe to set the mood."
nt,"Oh, this feels epic. Especially with the start, it has this sensation of people or characters coming together and approaching a rising conflict or climax. Things don't feel dire, but they are happening, and it's a powerful, anticipatory energy. It also sounds like old 8-bit video game music or chiptunes or something."
8bit,"Oh, this feels epic. Especially with the start, it has this sensation of people or characters coming together and approaching a rising conflict or climax. Things don't feel dire, but they are happening, and it's a powerful, anticipatory energy. It also sounds like old 8-bit video game music or chiptunes or something."
chiptunes,"Oh, this feels epic. Especially with the start, it has this sensation of people or characters coming together and approaching a rising conflict or climax. Things don't feel dire, but they are happening, and it's a powerful, anticipatory energy. It also sounds like old 8-bit video game music or chiptunes or something."
scifi,"It feels like action music in a sci-fi setting. The later part of the song, with sounds that almost remind me of engines roaring, can also sound like audience cheers and screams, so that's what ties it into the concert idea for me. There is something or someone with the spotlight and this music is for them while the audience watches."
tv,"This song feels like a rock band I might hear on my parents' TV, or in movies from closer to their time."
videogame,"Since it said videogame, this music reminds me of a water level. Maybe deep underwater, safe but lonely, a bit moody but also gentle. It feels like music for someone to walk and contemplate to. It could also work for deep space, but it feels so much like ""water"" to me."
nt,"This feels like another high class restaurant during the evening, but with this feeling of, like... a character in the film has asked someone out to dinner, and it is a very adult and professional thing, and this song plays as though this scene is like the next step. It isn't the end or start of a romantic relationship, but a transition, or something noteworthy and nice. A little casual, not super tense."
nt,"I thought the song sounded almost sad and contemplative, a weird choice for a bar, but then more instruments kicked in and in addition to feeling sad, it started feeling.... active? Something that is nice to listen to, and gentle, a good beat that catches the ear but isn't too obtrusive as background noise."
eurovision,"Glastonbury, rave, Eurovision"
dragonforce,"Black Veil Brides, Dragonforce type guitar solos. it reminds me of video clips I have seen of the German music festival Rock am Ring/Wacken."
ringwacken,"Black Veil Brides, Dragonforce type guitar solos. it reminds me of video clips I have seen of the German music festival Rock am Ring/Wacken."
dragonforce,Sounded like the Dragonforce / Black Veil Brides track I heard earlier. This reminds me of when I was younger and when I used to listen to this kind of music.
nostaligia,"It sounded like a song called ""Parallel Worlds"" by Elliot Minor and produced the same nostaligia as the tracks I referenced sounding a bit like Dragonforce or Black Veil Brides."
dragonforce,"It sounded like a song called ""Parallel Worlds"" by Elliot Minor and produced the same nostaligia as the tracks I referenced sounding a bit like Dragonforce or Black Veil Brides."
nq64,It reminded me of Arcade Games and places you can play them such as NQ64 in lots of the UK's major cities.
uk,It reminded me of Arcade Games and places you can play them such as NQ64 in lots of the UK's major cities.
chillslow,It reminds me of playing chill/slow video games when i was younger and stress-free times. The sun is shining outside and i’m playing with friends before dinner is ready 
stressfree,It reminds me of playing chill/slow video games when i was younger and stress-free times. The sun is shining outside and i’m playing with friends before dinner is ready 
ds,this reminds me of playing cooking games on the Nintendo DS with my sister when we were younger. Specifically in the car driving on the way to France :)
jimmi,"again, reminds me of live concerts but also going onto YouTube and seeing some live performances of bands that I haven’t ben able to see in person, like jimmi Hendrix etc"
etc,"again, reminds me of live concerts but also going onto YouTube and seeing some live performances of bands that I haven’t ben able to see in person, like jimmi Hendrix etc"
chillrelaxed,"Reminds me of being in my room, with incense lit and chill/relaxed music playing whilst I wind down for the evening. "
favourite,One of my favourite songs!!! I could listen to this anywhere so reminds me of lots of different things but particularly being on a walk or on a train looking at the world go by!
2022,i was in Miami around 2022. Live band with similar cool vibes made me feel relaxed
mesmerised,i was mesmerised with the music as it gave me good feeling
oldtimey,"I imagined a man on a stage playing piano in a dimly lit room but a light shining on him. The stage was red tinted and the man is wearing a suit passionately, lost in the music he is playing. In the background is a his band, but they are out of the spotlight yet still somewhat visible. The overall vibe is an old-timey one, from the 1930's or so."
1930,"I imagined a man on a stage playing piano in a dimly lit room but a light shining on him. The stage was red tinted and the man is wearing a suit passionately, lost in the music he is playing. In the background is a his band, but they are out of the spotlight yet still somewhat visible. The overall vibe is an old-timey one, from the 1930's or so."
snesera,"I imagined this to be the soundtrack to a boss fight in an older SNES-era game. It made me think of games such as Zelda or Lagoon, and I can picture the characters engaging against a mortal enemy as the music ramps up. The fight is most likely climatic in nature, and the stakes are very high."
actionpacked,"I imagined a scene from a video game such as Devil May Cry. The scene is action-packed and the characters are flashy, with anime-style visuals. The moves being performed by the character is almost in sync with the music and there is an emphasis on the ""cool factor"" of what is being seen."
animestyle,"I imagined a scene from a video game such as Devil May Cry. The scene is action-packed and the characters are flashy, with anime-style visuals. The moves being performed by the character is almost in sync with the music and there is an emphasis on the ""cool factor"" of what is being seen."
retrothemed,"I'm in a retro-themed bar in a city such as New Orleans and I can hear this song softly in the background amidst the chatter of the customers. The vibe is casual and the people aren't dressed to match the theme of the bar, but the theme is bold enough to not be affected by this."
nt,"I'm in a retro-themed bar in a city such as New Orleans and I can hear this song softly in the background amidst the chatter of the customers. The vibe is casual and the people aren't dressed to match the theme of the bar, but the theme is bold enough to not be affected by this."
tv,"This sounds like the main menu theme for a Japanese game. I can imagine myself loading the game, and getting a drink to prepare for my gaming session and this song can be heard from my TV while I'm doing so."
snes,"I'm at my dad's house as kid, and I'm watching him play the old Mario games on the SNES. As the song progressed though, it sounded more modern and more like a remix of an older song, something I would have heard in a new movie themed around an older game."
fanbase,I can clearly visualize this being a boss track during a Final Fantasy game. The boss would be a secret boss that is uncovered by the player and is an epic climax of some sort. The fight would be very challenging and the music would be a defining feature of the fight for the fanbase.
oldtimey,"I imagined two characters slow dancing at an old-timey ball. Something based between 1900-1940. The characters are well dressed, in suits and expensive dresses. The two characters that are focused on are there for an ulterior motive, such as to spy on someone or to steal an object from the ball and are having a brief bit of fun. I'm seeing a male and a female, with some sexual undertone to their partnership. They usually keep it professional but this song and dance routine is making it hard for them to do so."
19001940,"I imagined two characters slow dancing at an old-timey ball. Something based between 1900-1940. The characters are well dressed, in suits and expensive dresses. The two characters that are focused on are there for an ulterior motive, such as to spy on someone or to steal an object from the ball and are having a brief bit of fun. I'm seeing a male and a female, with some sexual undertone to their partnership. They usually keep it professional but this song and dance routine is making it hard for them to do so."
1930s,A Jazz bar in the 1930s old hollywood glamour style
2000,It reminded me of the sound of starting your computer up in the early 2000's not sure if its the same
tranqual,"Relaxing, tranqual setting"
70,It reminded me of a 70's era vibe 
90s,It reminded me of video games from the 90s early 2000's 
2000,It reminded me of video games from the 90s early 2000's 
sadromantic,It started to sound like something from movie sad/romantic scene but then when the music changed I was unsure of this
cafe,"I imagined a large piano, as well as a jazz musician holding a saxophone. (I am not sure if I heard a saxophone in the music, though.) At the beginning of the music clip, I imagined Gothic architecture, such as a Gothic mansion with tall, iron gates. I also envisioned a romantic cafe scene in a city like Paris with couples seated together and cups of coffee emitting steam into the air."
arctica,"I thought of Sonata Arctica, a band that I like. I also briefly thought that this music resembles the music of Rob Zombie, but then I changed my mind. This song gives off ""power metal"" vibes. There is a ""folk metal"" band in Argentina that makes similar music, I believe. I imagined an animated performer with an electric guitar on a stage inside a bar."
mardi,"I felt that this song might be the type of song played at a concert in New Orleans. (I have never heard this song before, as far as I can recall, but one of the instruments made me think of Mardi Gras and New Orleans.) I could not think of a specific artist who would be playing this type of music. The song sounded like good background music for a celebratory scene in a TV show. It evoked vaguelnostalgic feelings."
gras,"I felt that this song might be the type of song played at a concert in New Orleans. (I have never heard this song before, as far as I can recall, but one of the instruments made me think of Mardi Gras and New Orleans.) I could not think of a specific artist who would be playing this type of music. The song sounded like good background music for a celebratory scene in a TV show. It evoked vaguelnostalgic feelings."
tv,"I felt that this song might be the type of song played at a concert in New Orleans. (I have never heard this song before, as far as I can recall, but one of the instruments made me think of Mardi Gras and New Orleans.) I could not think of a specific artist who would be playing this type of music. The song sounded like good background music for a celebratory scene in a TV show. It evoked vaguelnostalgic feelings."
vaguelnostalgic,"I felt that this song might be the type of song played at a concert in New Orleans. (I have never heard this song before, as far as I can recall, but one of the instruments made me think of Mardi Gras and New Orleans.) I could not think of a specific artist who would be playing this type of music. The song sounded like good background music for a celebratory scene in a TV show. It evoked vaguelnostalgic feelings."
noir,"I thought of film noir crime and mystery films, as well as two television series that used similar music: Matlock (the series that aired in the 1980s and '90s) and In the Heat of the Night. This sounds like the soundtrack for a mystery or crime drama."
1980s,"I thought of film noir crime and mystery films, as well as two television series that used similar music: Matlock (the series that aired in the 1980s and '90s) and In the Heat of the Night. This sounds like the soundtrack for a mystery or crime drama."
90s,"I thought of film noir crime and mystery films, as well as two television series that used similar music: Matlock (the series that aired in the 1980s and '90s) and In the Heat of the Night. This sounds like the soundtrack for a mystery or crime drama."
skiltron,"I felt that this song would fall into a genre like power metal, symphonic metal, or thrash metal. I was reminded of the band called Skiltron. However, I didn't conjure up that many visuals in my mind for this piece of music."
nt,"I felt that this song would fall into a genre like power metal, symphonic metal, or thrash metal. I was reminded of the band called Skiltron. However, I didn't conjure up that many visuals in my mind for this piece of music."
1990s,"I was reminded of 1990s sidescroller games, including the games for the Super Nintendo Entertainment System that featured the Power Rangers."
sidescroller,"I was reminded of 1990s sidescroller games, including the games for the Super Nintendo Entertainment System that featured the Power Rangers."
bioshock,"I was reminded of the soundtrack of the video game Bioshock, as well as the music of Django Reinhardt. This seemed like the type of music that Django Reinhardt could have made. I visualized the underwater city of Rapture while listening to this."
django,"I was reminded of the soundtrack of the video game Bioshock, as well as the music of Django Reinhardt. This seemed like the type of music that Django Reinhardt could have made. I visualized the underwater city of Rapture while listening to this."
django,"I was reminded of the soundtrack of the video game Bioshock, as well as the music of Django Reinhardt. This seemed like the type of music that Django Reinhardt could have made. I visualized the underwater city of Rapture while listening to this."
spongebob,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
squarepants,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
1,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
xbox,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
2000s,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
nt,"This music reminded me of a SpongeBob SquarePants video game that I either played on the Playstation 1 or on the very first Xbox console in the early 2000s. It seemed like exactly the kind of whimsical, lighthearted music that might have played during one of those missions, but I can't say with certainty if I have ever heard this particular song before."
turismo,"I was vaguely reminded of a video game that included the words ""Gran Turismo"" in its title. I played it in the early 2000s. I couldn't think of much else for this one. It seemed to belong to a fast-paced action or racing game, if I had to guess."
2000s,"I was vaguely reminded of a video game that included the words ""Gran Turismo"" in its title. I played it in the early 2000s. I couldn't think of much else for this one. It seemed to belong to a fast-paced action or racing game, if I had to guess."
nt,"I was vaguely reminded of a video game that included the words ""Gran Turismo"" in its title. I played it in the early 2000s. I couldn't think of much else for this one. It seemed to belong to a fast-paced action or racing game, if I had to guess."
fastpaced,"I was vaguely reminded of a video game that included the words ""Gran Turismo"" in its title. I played it in the early 2000s. I couldn't think of much else for this one. It seemed to belong to a fast-paced action or racing game, if I had to guess."
1980s,"This song brought to mind the video game Grand Theft Auto: Vice City, in particular the songs that would play on the radio in vehicles within that game. The song seemed to evoke the carefree atmosphere and cool, confident hedonism of the 1980s."
maylene,"This sounded like something performed by Rob Zombie or maybe by Maylene and the Sons of Disaster. I did not think of any concrete visual references for this song, though."
1970s,"This song sounded like it could be placing at the beginning of a film set in the 1970s; it evoked thoughts of the disco era. I was randomly reminded of the video game ""Sleeping Dogs."" "
1990s,"I felt that this song could have been pulled from a 1990s sidescroller game made by Nintendo or from a Japanese anime film from that same era, like Akira."
sidescroller,"I felt that this song could have been pulled from a 1990s sidescroller game made by Nintendo or from a Japanese anime film from that same era, like Akira."
akira,"I felt that this song could have been pulled from a 1990s sidescroller game made by Nintendo or from a Japanese anime film from that same era, like Akira."
echolike,"I was reminded of the reverberating, echo-like background sound found in some songs by the artist BONES, like the song ""Klebold."""
klebold,"I was reminded of the reverberating, echo-like background sound found in some songs by the artist BONES, like the song ""Klebold."""
vu,The music made me have de ja vu of a video game i was playing while younger
rpg,I was imagining being a protagonist in an action based zombie killer rpg running through a mall similar to dead rising series.
80,I imagined a loud american style diner in the 80's 
cyber,this sound made me imagine the game world of cyber punk as this is very similar to the music played throughout which is a cyber futuristic style gangster setting
cyber,this sound made me imagine the game world of cyber punk as this is very similar to the music played throughout which is a cyber futuristic style gangster setting
ds,this made me think of super mario and playing through the levels on my nintendo ds
app,"this sounds like the focus music on an app i have the keep me focused while working, a simple calm and relaxing melody"
tv,"this sounds like an interactive kids tv show in the morning, i probably imagined this because i have two younger siblings and remember listening to similar sounds every day"
smartphone,it reminds me of my old smartphone
favourite,it reminds me watching my favourite cartoon at my father's house
favourite,it reminds me of my favourite movie
favourite,reminds me about my favourite team
yungblud,"Rock music at a concert like yungblud, uplifting and energetic music at a rock concert "
blacktie,"I imagined a dimly lit fine restaurant or club with people mingling. There's a live band playing this music on a stage, and everyone is wearing black-tie attire."
menuhome,"I imagined a menu/home screen on a gaming console in the 2000s. The music reminded me of the ""elevator"" music typically heard while on the main menu."
2000s,"I imagined a menu/home screen on a gaming console in the 2000s. The music reminded me of the ""elevator"" music typically heard while on the main menu."
nt,"I didn't imagine a specific scene per se, but I did associate it with the movie ""Wreck It Ralph"". It reminded me of an animated kids' movie."
nyc,"I imagined walking down the snowy streets of NYC during Christmas time. It's dark, cold, quiet, and lights and decorations are hung up on the brick townhomes."
townhomes,"I imagined walking down the snowy streets of NYC during Christmas time. It's dark, cold, quiet, and lights and decorations are hung up on the brick townhomes."
nt,"I definitely didn't imagine a bar, but I did envision watching one of the early 2000s educational science videos in elementary school. It felt magical and nostalgic."
2000s,"I definitely didn't imagine a bar, but I did envision watching one of the early 2000s educational science videos in elementary school. It felt magical and nostalgic."
nyc,"I imagined another compilation of a group of friends shopping during the holidays in NYC. They were going in and out of stores, laughing, walking down the street, etc. while carrying large shopping bags. It's snowy outside."
etc,"I imagined another compilation of a group of friends shopping during the holidays in NYC. They were going in and out of stores, laughing, walking down the street, etc. while carrying large shopping bags. It's snowy outside."
gravitydefying,I imagined a final scene in a video game where the character is racing down a gravity-defying track trying to escape the villain. It was cartoonish and futuristic but more of a 2000s era game.
2000s,I imagined a final scene in a video game where the character is racing down a gravity-defying track trying to escape the villain. It was cartoonish and futuristic but more of a 2000s era game.
teenagerscollege,"I imagined a movie scene with teenagers/college students partying. There were laser lights, drinks, crowds, and people dancing. Maybe some drugs involved, like the music indicated one of the characters was feeling euphoric."
puzzlesolving,"I imagined a puzzle-solving video game in an office setting where the character is navigating between cubicles. There are desk fans, balled up pieces of paper on the floor, coworkers' heads poking out of their cubicles, etc."
etc,"I imagined a puzzle-solving video game in an office setting where the character is navigating between cubicles. There are desk fans, balled up pieces of paper on the floor, coworkers' heads poking out of their cubicles, etc."
naruto,"It reminded me more of anime than a bar setting. Ones that came to mind were Naruto or Yu-Gi-Oh. I didn't imagine a specific scene, but I placed it with those shows in general, maybe an action sequence of some kind."
yugioh,"It reminded me more of anime than a bar setting. Ones that came to mind were Naruto or Yu-Gi-Oh. I didn't imagine a specific scene, but I placed it with those shows in general, maybe an action sequence of some kind."
nt,"It reminded me more of anime than a bar setting. Ones that came to mind were Naruto or Yu-Gi-Oh. I didn't imagine a specific scene, but I placed it with those shows in general, maybe an action sequence of some kind."
romancedrama,"I imagined a romance/drama movie with the main character going through life alone after a breakup. The scene was dark, moody, but the tone of the movie wasn't overly depressing, more like a transition between the breakup scene and a more positive scene."
nt,"I imagined a romance/drama movie with the main character going through life alone after a breakup. The scene was dark, moody, but the tone of the movie wasn't overly depressing, more like a transition between the breakup scene and a more positive scene."
80s,"I imagined an 80s movie with a woman walking by herself on a beach at sunset. Her hands are in her pockets, the wind is blowing her hair, and she is contemplating life."
probaply,Probaply a the introduction of a movie when the characters are being mentioned.
mosty,A bar where mosty it is attended by rich people and normaly drink expensive liquor.
normaly,A bar where mosty it is attended by rich people and normaly drink expensive liquor.
perfomance,A live perfomance at a bar or karaoke.
ment,sound like a very childish game like those ones for Talking Tom which are only ment for young age groups.
perfomance,Thoughts of a live perfomance in a bar with a young and very energetic band.
whre,Most probably the movie ending whre cast are being metion and other people who were involved in the making of the movie.
metion,Most probably the movie ending whre cast are being metion and other people who were involved in the making of the movie.
npc,i imagined spacing out  to this npc music
technoey,it just sound technoey
80s,it sounded very disco 80s  themed to me
rockingggg,it sounds rockingggg
ps2,"now this sounds more like something from a video game. I imagined playing pro evolution soccer on a PS2, with my older brother. We absolutely loved that game, the sound brought a lot of good memories."
wwe,"As the sound played, I pictured the entrance of a WWE wrestler, with pyro shooting and a very hyped crowd."
pyro,"As the sound played, I pictured the entrance of a WWE wrestler, with pyro shooting and a very hyped crowd."
actionpacked,It sounded like the opening scene of an action-packed Japanese animation series. It sounded like I was watching Baku.
thinkremember,it made me think/remember a few raves i have been to such as dreamland and boomtown
boomtown,it made me think/remember a few raves i have been to such as dreamland and boomtown
restraunt,it made me think of a fancy hotel in a really expensive restraunt as thats the sort of thing it gives off
thats,it made me think of a fancy hotel in a really expensive restraunt as thats the sort of thing it gives off
hightech,"I immediately thought of a high-tech, futuristic world where the characters in the scene are getting ready to go do something reckless like hack into something. The thought that came to mind was that this is something that would play maybe at the beginning or middle of the movie when the characters are still getting up to no good before things get serious at the end of the movie. "
kpop,"I really could see this being the extended remix of a really hype song that plays at a K-Pop or J-Pop concert. I was really clearly picturing this as the opening for a song, designed for the idols to show off a complicated dance routine with many back-up dancers to create a visual spectacle. "
jpop,"I really could see this being the extended remix of a really hype song that plays at a K-Pop or J-Pop concert. I was really clearly picturing this as the opening for a song, designed for the idols to show off a complicated dance routine with many back-up dancers to create a visual spectacle. "
visualising,"I was thinking that initially, I could see this being played a piano at a small and intimate venue but when the beat and other elements of the instrumental kicked in, I was visualising this playing over a set of speakers in a mid-sized bar full of younger patrons. "
visualising,"I immediately could see this being an older song being performed in a small concert where the singer was nodding along to the song and snapping his fingers, ready to croon into the microphone. When I was thinking about this, I ended up remembering and visualising videos I've seen of older performances of songs in black and white which impacted my view of this song."
ve,"I immediately could see this being an older song being performed in a small concert where the singer was nodding along to the song and snapping his fingers, ready to croon into the microphone. When I was thinking about this, I ended up remembering and visualising videos I've seen of older performances of songs in black and white which impacted my view of this song."
colourful,"I was thinking I could see this music being played in a Nintendo game where you either are completing a puzzle or maybe are completing a section where you have to be sneaky. I could see this being played in a colourful environment with fun-looking characters, like Mario."
funlooking,"I was thinking I could see this music being played in a Nintendo game where you either are completing a puzzle or maybe are completing a section where you have to be sneaky. I could see this being played in a colourful environment with fun-looking characters, like Mario."
3,"I immediately thought that this was boss music, more specifically final boss music. The scene I imagined was something like Persona 3's final boss where you are fighting a massive creature on top of a building. I was imagining a turn-based system where you are waiting to pick your next move, I really clearly could imagine your party waiting on one side, facing the monster."
turnbased,"I immediately thought that this was boss music, more specifically final boss music. The scene I imagined was something like Persona 3's final boss where you are fighting a massive creature on top of a building. I was imagining a turn-based system where you are waiting to pick your next move, I really clearly could imagine your party waiting on one side, facing the monster."
punkband,"I could easily imagine this being a punk-band (maybe like Fall Out Boy?) during an instrumental section of their song. The band I was imagining are somewhat close to the edge of the stage with fans equally pressed up against the edge of the stage. I was imagining the band really into what they were playing, completely lost in the music."
bikerlooking,"I imagined a situation where there are some biker-looking people hanging out at a bar, outside near a patio. The music is playing from inside the bar, so the music sounds a bit muffled from where they are standing."
ve,"It sounds like the type of music to play during the credits rolling after someone has beaten a game. Most likely it would've been a ""fun"" game, something colorful and family-friendly."
familyfriendly,"It sounds like the type of music to play during the credits rolling after someone has beaten a game. Most likely it would've been a ""fun"" game, something colorful and family-friendly."
retrostyled,"The music sounds like the soundtrack that plays in a retro-styled game, specifically during a boss fight or another action-packed scenario."
actionpacked,"The music sounds like the soundtrack that plays in a retro-styled game, specifically during a boss fight or another action-packed scenario."
dj,It sounds like something that would maybe be played during a dj's warm up set in a semi-empty bar. The bar would be more modern-looking.
semiempty,It sounds like something that would maybe be played during a dj's warm up set in a semi-empty bar. The bar would be more modern-looking.
modernlooking,It sounds like something that would maybe be played during a dj's warm up set in a semi-empty bar. The bar would be more modern-looking.
bluehued,It sounds like the menu music for a video game that is set in a cyberpunk world. I imagine the game itself to be very blue-hued.
